_id,id,text,label
ObjectId(5d1327e45e753936bc474224),767706206924316672,"Creamfields This Sunday...
Early Set Time 1400 - 1600
@MarcKinchen #Area10 Stage 

Hope you can make it... 💃🏾 https://t.co/4xRBOSKDrV",0
ObjectId(5d1327e75e753936bc474226),767058402472255489,@HollySmyth_ oh holly are you selling creamfields tickets by any chance,0
ObjectId(5d1327ed5e753936bc474227),768554742905708544,All packed for Creamfields finally always leave it last minute and think I have way to much stuff 🙃🙃🙃,1
ObjectId(5d1327ee5e753936bc474228),704710613352783874,"Purchased @Creamfields tickets yesterday in my lecture because it was boring, never felt better 😁 #excited",1
ObjectId(5d1327f05e753936bc474229),766778839745912833,Wow now I can't sleep 😩 thinking about where I am going to camp at Creamfields next weekend. This is going to be a long night 🔫,1
ObjectId(5d1327f45e753936bc47422b),768468157623332868,Creamfields tomorrow! 💃🏻🍻💃🏻🎉🎆🎶,0
ObjectId(5d1327fc5e753936bc47422e),765874630418698240,Wish I was going Creamfields next weekend 🎪💭,0
ObjectId(5d1327fe5e753936bc47422f),767820510721875968,Someone buy my silver 3day camping #Creamfields2016 ticket pls☹️,0
ObjectId(5d1328035e753936bc474232),765668229750595584,@Twickets Anybody selling a 2 day camping ticket Saturday-Sunday x2 for creamfields??? Rt please,0
ObjectId(5d1328065e753936bc474235),766034329579446272,Can already tell this time next Thursday I'll be looking after @harry_redshaw at Creamfields,1
ObjectId(5d1328085e753936bc474237),768195757652533249,Tuesday crew yes! Got back 2 back @TheChainsmokers coming plus gonna tell you how u can join me in the DJ booth @Creamfields #SmirnoffHouse,0
ObjectId(5d13280c5e753936bc47423a),764925892011421699,Sunday ticket for creamfields bought💃🏻💃🏻💃🏻,1
ObjectId(5d13280d5e753936bc47423c),768215940005847040,"ONLY 2 SLEEPS UNTIL CREAMFIELDS!

Which of you rascals are camping as well? 

Neeeearly finished putting together... https://t.co/27zlNJYWpP",1
ObjectId(5d13280f5e753936bc47423e),768539487811018752,So pissed am not going to creamfields 😭😭😭,0
ObjectId(5d1328115e753936bc47423f),767689918038601728,IM SO FUCKING EXCITED FOR CREAMFIELDS!!!!!,1
ObjectId(5d1328155e753936bc474242),765592403734622208,Wish I was going creamfields 😞😞,0
ObjectId(5d13281f5e753936bc474245),764880925922590720,Buzzing for Creamfields😎😝🎪,1
ObjectId(5d1328225e753936bc474248),765645874890477568,"so sick of work at the moment, all I am doing everyday is counting down the days to creamfields ... single figures now 💃😁",1
ObjectId(5d1328245e753936bc47424a),768391017716416517,Last day at work then @Creamfields for the four days can't wait man!! 😎🔥,1
ObjectId(5d1328275e753936bc47424b),765071662605799424,Last full week at work before @Creamfields 🙊 @chriskelly717 @seangibsontweet 🎉🎉,1
ObjectId(5d13282b5e753936bc47424c),768541686532284416,Could greet tht am no going eh creamfields 😭😭😭,0
ObjectId(5d1328325e753936bc47424e),765655931933843456,8 spaces left on bus to Creamfields if anyone needs transport ✌🏽️,0
ObjectId(5d1328395e753936bc474251),768560157240483840,"Looks like I'm going off to war with my camo back pack, nah lads just creamfields",1
ObjectId(5d13283d5e753936bc474254),765109212888363009,"2 tickets to Creamfields 2016 - 4 Day Camping - Warrington, 25 Aug, fv £240.00 ea. To buy these tickets and more: https://t.co/cShaBwhZoQ",0
ObjectId(5d1328405e753936bc474257),767639080154886144,"2 tickets to Creamfields (2 Day Camping) - Warrington, 27 Aug, less fv £235.00 ea. Buy &amp; Sell with protection: https://t.co/m28Fo7xv73",0
ObjectId(5d1328495e753936bc47425b),765857429867360256,Arghhhhhhhh please choose me 🙋🏻🙋🏻🙋🏻🙋🏻🙋🏻🙋🏻🙋🏻🙋🏻😵 @FubarRadio  https://t.co/RY9GNJzdGv,0
ObjectId(5d13284c5e753936bc47425c),765228128700628992,2 day gold @Creamfields ticket available for sale sat-sun open to offers dm me #creamfields#tickets,0
ObjectId(5d13284e5e753936bc47425d),767337863155449856,Really wish I was in the v😪😞 creamfields best be better than the last two years this year!,0
ObjectId(5d1328585e753936bc474263),767789939765501952,Creamfields,0
ObjectId(5d13285a5e753936bc474264),766683428989337600,"2 tickets to Creamfields 2016 - 4 Day Camping - Warrington, 25 Aug, less fv £170.00 ea. Buy with protection: https://t.co/Q2B7X3wp1I",0
ObjectId(5d1328635e753936bc474267),768479213510877184,Actually gutted im not goin to creamfields need to save better 😑😑😞,0
