_id,id,text,label,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da4b),1.12E+18,"Happy birthday to my tornado twin, nikles!!! I can’t wait for you to come home!! Party hard ❣️@nikkilamoree https://t.co/lbYxOG3OxZ",-1,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da4c),1.12E+18,"@IDoubtIt @ShannonWGAL Horrible.  And to think that the tornado was on the weak end of the scale.  Hope we don’t see a stronger one, ever.",1,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da4d),1.12E+18,"⛏️💻 Mining Risk Analysis:

Analysing your sensitivity analysis results are straight forward with our interactive Spider and Tornado graphs.

Any user, any device, anywhere.

  👇 https://t.co/0J7Qss42pk",-1,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da4e),1.12E+18,@aasb_17 @iScenario the cube,-1,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da4f),1.12E+18,"@ranjona @Subytweets @rumiesque Haaaw, what you have against Songs ? No like Tornado mai disco? 🤔",-1,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da50),1.12E+18,Dazion is one of the sickest producers and dj’s arround! If u don’t know now u know! HEAT &amp; HEAT ONLY! 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/tyPhwqevi7,-1,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da51),1.12E+18,Confirmed EF1 tornado hit my home town early Monday https://t.co/Wnao7b24mY injuries.God is good. Check out @NWSStateCollege's Tweet: https://t.co/8WxuDYiqm8,0,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da52),1.12E+18,Creating a Simple Python WebSocket Server | Toptal https://t.co/ycO0EGnChF https://t.co/buyetcKtxN,-1,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da53),1.12E+18,"@NucleusNine @realdoonser ""no one judges you for drinking white fluids"" uwu",-1,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da54),1.12E+18,I posted a new video to Facebook https://t.co/Vf688IYYyU,-1,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da55),1.12E+18,"“They're safe but they are not in their homes. They are city-less. I think it’s just a disaster for everyone.�?
We are standing in love, prayers &amp; donations with all those affected by the Bokkos Tornado🙏🏾💔
Your generosity will go a long way.
#CDC
#Donate4Bokkos 
#UrbanSocialHub",0,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da56),1.12E+18,"Remember how you spent the day after the NC twisters in 2011?
This time 8 years ago, I was on my second cup of coffee, figuring a path to drive/walk to Dunn's Cedar Creek Mobile Home Park &amp; Food Lion Distribution Center for pictures of the tornado damage for @fayobserver .",1,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da57),1.12E+18,"https://t.co/PqcL6j5Ds0! �?Ok, this is just getting silly…�?

━━━━=≡�?(( つ•̀ω•�?�?
#gamedev #indiedev #indiegame https://t.co/iQx8FN9wbn",-1,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da58),1.12E+18,"@NextGenPupper - Buy a fursuit
- Be ultra super mega gay
Done",-1,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da59),1.12E+18,the belgian office is a language tornado if tornados were cool and not tragic,-1,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da5a),1.12E+18,True or False: You should open your windows before a #Tornado. Learn more: https://t.co/Fqb7yLjdYO #TornadoMyths,-1,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da5b),1.12E+18,"5-15% odds for damaging wind gusts, large hail, and even a tornado on the other side of the #BigLake. Contours courtesy of @NWSSPC #wwmt #miwx #WestMIchigan https://t.co/Yd1IO9ubpN",-1,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da5c),1.12E+18,G-spot Tornado https://t.co/OBzPajnGKD,-1,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da5d),1.12E+18,"Officials continued to clean up Tuesday in the hardest-hit areas around Hamilton and Vicksburg.

https://t.co/4All8y6lEy",0,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da5e),1.12E+18,"@satanicxbitch on sunday there were tornado warnings in my area and the weather was insane.... then by 6am the next day, it was snowing",0,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da5f),1.12E+18,"@iCyclone Last summer we had tornado warnings here in Columbus Ohio, &amp; some of the facebook status of people i saw bitching about the warnings blew my mind. That ""annoyance"" that you want to bitch about just might save your life. Sorry for cursing, ju",-1,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da60),1.12E+18,Little Axe prom king passes crown to classmate who survived tornado that killed his mom https://t.co/28ZwLDuKlV https://t.co/zSz2XsE9aQ,-1,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da61),1.12E+18,"NEW THIS MORNING: Eastern NC is under a level 3 (out of 5) risk for severe storms on Friday. Flash flooding, damaging wind gusts, and even an isolated tornado could impact Easter travel plans Stay tuned to local media for more updates. https://t.co/kz1agmlBVz",0,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da62),1.12E+18,"NEW THIS MORNING: Eastern NC is under a level 3 (out of 5) risk for severe storms on Friday. Flash flooding, damaging wind gusts, and even an isolated tornado could impact Easter travel plans Stay tuned to local media for more updates. https://t.co/PqwtcdiWOr",0,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da63),1.12E+18,Mississippi tornado count rises to 19 in Saturday outbreak https://t.co/pjCV8xWCGy,0,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da64),1.12E+18,Boots on the Ground. Assessing tornado damage in Choctaw County. #MSUext https://t.co/BWU8yPj0YZ,0,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da65),1.12E+18,"""It was a magnificent aircraft, but an aircraft that has done such amazing service for our country.""

A look back at 4️⃣0️⃣ years of the RAF Tornado

https://t.co/7747ZgHQPE",-1,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da66),1.12E+18,"Level 3 Severe Threat Level for our viewing area Thu afternoon &amp; Thu night. Damaging wind, brief tornado, heavy rain. Localized flash flooding possible in low lying areas. Download our NBC 15 weather app-go to the app store &amp; type WPMI WX @mynbc15 https://t.co/xmdzA1WXej https://t.co/2d9iAxXzK3",0,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da67),1.12E+18,@ClashofClans Why u still nerfing the tornado trap .. better remove it then 🤪🤪,-1,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da68),1.12E+18,"Mississippi tornado count rises to 19 in Saturday outbreak
https://t.co/zvYNKrXkcX

JACKSON, Miss. �?The National Weather Service now counts 19 tornadoes that hit Mississippi on Saturday.
Officials continued to clean up Tuesday in the hardest-hit areas around Hamilt...",0,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da69),1.12E+18,A tornado was bearing down on a bar packed with college students. Its owner explains why they were kicked out. https://t.co/HKX2GET5W3,-1,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da6a),1.12E+18,Mississippi tornado count rises to 19 in Saturday outbreak https://t.co/hSjN63behs https://t.co/ezyL1O0c09,0,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da6b),1.12E+18,"A line of strong storms will move through Middle Georgia on Friday morning. Storm threats include damaging wind gusts, heavy rainfall, large hail, and the potential for an isolated tornado. I'll have a look at the full forecast now through 7 am on Daybreak. https://t.co/Gby274zB4M",0,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da6c),1.12E+18,"Mars in Rohini nakshaktra causing the tornado? 
Hmm... wonder which sastra says this? https://t.co/JC2zh5oYZF",-1,,,,,,,,,,,,,,,,,,
ObjectId(5cb6f7a35e7539387083da6d),1.12E+18,Mississippi tornado count rises to 19 in Saturday outbreak https://t.co/p75YebDqNg https://t.co/0AK4jJccjw,0,,,,,,,,,,,,,,,,,,
