_id,id,text,label
ObjectId(5cda3ae75e75395dc86f2cbb),1128145349208694784,@rich_1236 Good getting ready for Vacation i left school early cause of plane tickets. HBU,0
ObjectId(5cda3ae75e75395dc86f2cbd),1128145325040889856,It is really tough coming back from such a relaxing vacation to ALL the responsibilities I don’t want to deal with 😰,1
ObjectId(5cda3ae75e75395dc86f2cbf),1128145312277643265,I have a 7am shift tomorrow but then its vacation time so I.......have to power through,
ObjectId(5cda3ae75e75395dc86f2cc1),1128145258653503488,Savoy Hotel Boracay Newcoast Family Stay Review https://t.co/T3jVTNKiCE via @Lovingly_mama #travel #family #summer #boracay #vacation,
ObjectId(5cda3ae75e75395dc86f2cc3),1128145203376734210,I just wonna live where y’all vacation at!,
ObjectId(5cda3ae75e75395dc86f2cc5),1128145193436315648,"All l have is vacation days &amp; a one-way ticket 💀 no fits..no flight back. Just winging it, per usual lol.",
ObjectId(5cda3ae75e75395dc86f2cc7),1128145102684266501,omg two days of work until vacation I got this,
ObjectId(5cda3ae75e75395dc86f2cc9),1128145096392695809,About to put 2 weeks in of vacation for July fuck it,
ObjectId(5cda3ae75e75395dc86f2ccb),1128145047575302144,"To celebrate the release of @PomsMovie on May 10, I've just entered this sweepstakes for the chance to win a #PomsWithMoms @PrincessCruises vacation for four in a mini-suite: https://t.co/OoFI8O65b0",
ObjectId(5cda3ae75e75395dc86f2ccd),1128145041455833088,"To celebrate the release of @PomsMovie on May 10, I've just entered this sweepstakes for the chance to win a #PomsWithMoms @PrincessCruises vacation for four in a mini-suite: https://t.co/ElMeM21fy6",
ObjectId(5cda3ae75e75395dc86f2ccf),1128145020693958657,"During Spring Break, I wanted us to go on a vacation. But he gets his kids during their spring break-the same week as mine. They come first so no vacation for us. I couldn’t deal with that",
ObjectId(5cda3ae75e75395dc86f2cd1),1128145015467925506,Sanctuary cities are GREAT! Go visit one near you! Yep SANCTUARY CITIES ARE A BEAUTIFUL AND SAFE PLACE FOR YOUR FAMILIES TO VISIT DURING YOUR VACATION THROUGH CALIFORNIA! SANCTUARY CITIES ARE A MAJOR VACATION SITE!,
ObjectId(5cda3ae75e75395dc86f2cd3),1128144974598504448,traveling all 2019. Next trip already booked while still on vacation lol,
ObjectId(5cda3ae75e75395dc86f2cd5),1128144948434329600,That's because the vacation is not the source of true peace and comfort. Or the money. Or your friends.,
ObjectId(5cda3ae75e75395dc86f2cd8),1128144941140541440,@12kararodgers Well unfortunately I don’t know how I have been either. You see my translator has been on an extended vacation for some crazy reason. 😂🤷🏼‍♀️,
ObjectId(5cda3ae75e75395dc86f2cda),1128144938510712833,"To celebrate the release of @PomsMovie on May 10, I've just entered this sweepstakes for the chance to win a #PomsWithMoms @PrincessCruises vacation for four in a mini-suite: https://t.co/MQsaT9awJv",
ObjectId(5cda3ae75e75395dc86f2cdc),1128144933217546240,Vacation slowly approaching 🧐,
ObjectId(5cda3ae75e75395dc86f2cde),1128144928180187137,I need a vacation like NOW cause I contemplate everyday should I quit.,
ObjectId(5cda3ae75e75395dc86f2ce0),1128144922228477952,Vacation loading...,
ObjectId(5cda3ae75e75395dc86f2ce2),1128144911457452033,Bachelorette party &amp; vacation = nothing but OT 😭,
ObjectId(5cda3ae75e75395dc86f2ce4),1128144890188013568,2 more weeks till Vacation!! https://t.co/EqUQWmaTYD,
ObjectId(5cda3ae75e75395dc86f2ce6),1128144877387169792,adult tv shows top adult only hotels school girl custom all inclusive adult vacation packages school girl a how to break ur virginity https://t.co/zsasNJywzg,
ObjectId(5cda3ae75e75395dc86f2ce8),1128144870336598016,I’ve hit peak vacation shopping mode. I know bc I’m shopping for trendy sandals that are also good for walking but also dancing but also don’t look geriatric and will look cute with my backless dress...does such a thing exist? Let’s find out together.,
ObjectId(5cda3ae75e75395dc86f2cea),1128144867782119424,i should’ve stayed on vacation https://t.co/aNGmXYqAGA,
ObjectId(5cda3ae75e75395dc86f2cec),1128144836484325376,Just got home from work and my throat hurts 😭😭😭😭 its two days until vacation too.,
ObjectId(5cda3ae75e75395dc86f2cee),1128144834273792000,I for sure need another vacation this summer 😿,
ObjectId(5cda3ae75e75395dc86f2cf0),1128144778007171072,"I am not a hotel room, I am home, I am not the liquor you want, I am the water you need, don’t come here with expectations and try to make a vacation out of me. I’m not the weekend getaway, I am home.",
