_id,id,text,label,,,,,,
ObjectId(5cda3ae75e75395dc86f2cbb),1.13E+18,@rich_1236 Good getting ready for Vacation i left school early cause of plane tickets. HBU,0,,,,,,
ObjectId(5cda3ae75e75395dc86f2cbd),1.13E+18,It is really tough coming back from such a relaxing vacation to ALL the responsibilities I don’t want to deal with 😰,1,,,,,,
ObjectId(5cda3ae75e75395dc86f2cbf),1.13E+18,I have a 7am shift tomorrow but then its vacation time so I.......have to power through,1,,,,,,
ObjectId(5cda3ae75e75395dc86f2cc1),1.13E+18,Savoy Hotel Boracay Newcoast Family Stay Review https://t.co/T3jVTNKiCE via @Lovingly_mama #travel #family #summer #boracay #vacation,-1,,,,,,
ObjectId(5cda3ae75e75395dc86f2cc3),1.13E+18,I just wonna live where y’all vacation at!,-1,,,,,,
ObjectId(5cda3ae75e75395dc86f2cc5),1.13E+18,"All l have is vacation days &amp; a one-way ticket 💀 no fits..no flight back. Just winging it, per usual lol.",1,,,,,,
ObjectId(5cda3ae75e75395dc86f2cc7),1.13E+18,omg two days of work until vacation I got this,0,,,,,,
ObjectId(5cda3ae75e75395dc86f2cc9),1.13E+18,About to put 2 weeks in of vacation for July fuck it,0,,,,,,
ObjectId(5cda3ae75e75395dc86f2ccb),1.13E+18,"To celebrate the release of @PomsMovie on May 10, I've just entered this sweepstakes for the chance to win a #PomsWithMoms @PrincessCruises vacation for four in a mini-suite: https://t.co/OoFI8O65b0",-1,,,,,,
ObjectId(5cda3ae75e75395dc86f2ccd),1.13E+18,"To celebrate the release of @PomsMovie on May 10, I've just entered this sweepstakes for the chance to win a #PomsWithMoms @PrincessCruises vacation for four in a mini-suite: https://t.co/ElMeM21fy6",-1,,,,,,
ObjectId(5cda3ae75e75395dc86f2ccf),1.13E+18,"During Spring Break, I wanted us to go on a vacation. But he gets his kids during their spring break-the same week as mine. They come first so no vacation for us. I couldn’t deal with that",0,,,,,,
ObjectId(5cda3ae75e75395dc86f2cd1),1.13E+18,Sanctuary cities are GREAT! Go visit one near you! Yep SANCTUARY CITIES ARE A BEAUTIFUL AND SAFE PLACE FOR YOUR FAMILIES TO VISIT DURING YOUR VACATION THROUGH CALIFORNIA! SANCTUARY CITIES ARE A MAJOR VACATION SITE!,-1,,,,,,
ObjectId(5cda3ae75e75395dc86f2cd3),1.13E+18,traveling all 2019. Next trip already booked while still on vacation lol,0,,,,,,
ObjectId(5cda3ae75e75395dc86f2cd5),1.13E+18,That's because the vacation is not the source of true peace and comfort. Or the money. Or your friends.,-1,,,,,,
