_id,id,text,label
ObjectId(5d1327e75e753936bc474225),765476554004725761,3 days till the best weekend of my lifeeeeee 👭🎉💃🏾⛺️🎪 @vfestival,1
ObjectId(5d1327f45e753936bc47422a),765099559710298112,5 days to go 🎉🎉🎉#VFestival,1
ObjectId(5d1327f85e753936bc47422c),765133224985169920,Girls check out my festival looks for V festival #curvyfashion #vfest new in… https://t.co/0TE5PUS9DS,1
ObjectId(5d1327fa5e753936bc47422d),765655808709431350,Can I just see Bieber already 🙌🏻 #Vfestival,1
ObjectId(5d1327ff5e753936bc474230),766572432920604673,TRAFFIC UPDATE: Traffic heading for @VFestival is heavy but NO SIGNIFICANT DELAYS - #FollowTheSigns https://t.co/smDWaiLlSb,0
ObjectId(5d1328015e753936bc474231),765222844418621440,Will you be attending #VFestival at the weekend? Be sure to keep your memories safe with #BoxStorage! https://t.co/G7ui69QgM6,0
ObjectId(5d1328035e753936bc474233),765112669137494016,"Anyone wants to find us at vfest, look for the flag https://t.co/qc9tHqyeSZ",1
ObjectId(5d1328055e753936bc474234),766566472655175680,#vfest essentials 90% alcohol 10% food #priorities #festival #rain #muddy https://t.co/B3qNYebDJI,0
ObjectId(5d1328065e753936bc474236),765665887995256836,Wish I was going @vfestival 😢,0
ObjectId(5d1328085e753936bc474238),765302173727064064,apparently joeys coming to vfest with me https://t.co/yXaIhClyA8,1
ObjectId(5d13280b5e753936bc474239),766590167155081216,@boltonyears hope weather is ok at @vfestival !!! I got everything crossed for ya hun! Come back ☀️ please xx,0
ObjectId(5d13280d5e753936bc47423b),765531693344260096,@vfestival looking forward to this weekend first ever festival aswell,1
ObjectId(5d13280f5e753936bc47423d),765526512430874624,Buzzing for @vfestival this weekend with my girls @KkSchofield @Kirstie_Derham @Laura_Bryony28 👯👯,1
ObjectId(5d1328125e753936bc474240),766577512260526081,Vfest we're coming for you 👯😜🍻 @vfestival @bstimmo08 @mollyinns_ #VFestival,1
ObjectId(5d1328135e753936bc474241),765217881814659072,@_lozzsta #vfestival https://t.co/KnY8iqbDSZ,0
ObjectId(5d1328155e753936bc474243),765492903737253888,Almost obsessively checking the weather forecast for @vfestival on Saturday. Not looking so good at the moment :(,1
